centre,center
terosss,terus
g,tidak
sekrang,sekarang
ny,nya
doang,aja
fersi,versi
tibatiba,tiba tiba
dibiat,buat
tks,terima kasih
permuk,verifikasi wajah
msk,masuk
mnding,mending
pd,pada
berkalikali,berkali kali
tba,tiba
sruh,suruh
tggu,tunggu
lnjutan,lanjutan
smpai,sampai
sgt,sangat
dak,tidak
benerin,benar
merer,merek
tlong,tolong
msalah,masalah
g,tidak
buke,buka
smga,semoga
gbs,tidak bisa
kalo,kalau
lu,anda
ttap,tetap
ja,aja
bnerin,benerin
dtang,datang
kntor,kantor
wktu,waktu
mf,maaf
ksih,kasih
mmbuka,membuka
lwt,lewat
responnx,respon
unt,untuk
yg,yang
costomernya,pelanggan
ngadat,lambat
msh,masih
bs,bisa
banget,sekali
gituh,begitu
hurusan,urusan
aplikasinyaa,aplikasi
n,dan
gak,tidak
hurusan,urusan
ga,tidak
bsa,bisa
dsentuh,sentuh
gkbsa,tidak bisa
ga,tidak
skrang,sekarang
ga,tidak
sampe,sampai
mobil,mobile
mmbantu,membantu
fikturnya,fitur
makin,semakin
knapa,kenapa
gak,tidak
uangeell,susah
bangett,sekali
bangettt,sekali
dpersyuliddbr,persulit
moderen,modern 
dg,dengan
yg,yang
k,ke
gak,tidak
yg,yang
dr,dari
yg,yang
gercep,bergerak cepat
dikit,sedikit
dateng,datang
k,ke
bangat,sekali
gak,tidak
bangt,sekali
gak,tidak
bntr,bentar
mendingn,mendingan
gak,tidak
udah,sudah
yg,yang
habis,setelah
tf,transfer
ga,tidak
bisabisa,bisa bisa
habis,setelah
gak,tidak
sgera,segera
kesel,kesal
skrg,sekarang
gak,tidak
emel,email
gak,tidak
wong,orang
kesel,kesal
kesel,kesal
trus,terus
on,hidupkan
yg,yang
yg,yang
rat,rating
deh,aja
kirain,kira
doang,aja
pas,waktu
haru,harus
vc,video call
ngga,tidak
haru,harus
bet,sekali
udah,sudah
vidio,video
payah,susah
liat,lihat
super,sangat
cs,customer service
gabisa,tidak bisa
dr,dari
bener,benar
ga,tidak
sampe,sampai
kenceng,kencang
gak,tidak
gak,tidak
pke,pakai
tpi,tapi
yg,yang
pke,pakai
kanpa,kenapa
lalma,lama
aat,saat
disuruh,suruh
biar,agar
mesti,harus
trus,terus
kepakai,terpakai
kacau,hancur
melulu,selalu
lemot,lambat
dll,dan lain lain
utk,untuk
memdapat,mendapat
mending,lebih baik
mentok,berhenti
tetep,tetap
gak,tidak
gabisa,tidak bisa
cobak,coba
amatiran,amatir
pki,pakai
tw,tau
nmr,nomor
pemiik,pemilik
sbentar,sebentar
jg,juga
jengkel,kesal
tetep,tetap
bwat,buat
kalo,kalau
gausah,tidak usah
gak,tidak
buruk,jelek
bwt,buat
pdhl,padahal
cab,cabang
trimkasih,terima kasih
beluam,belum
nyimpen,menyimpan
skali,sekali
mulu,terus
jngn,jangan
lg,lagi
tgl,tanggal
afk,keluar
kesetiap,ke setiap
ad,ada
bka,buka
kl,kalau
dipublish,publikasi
bgtu,begitu
gada,tidak ada
gua,saya
makin,semakin
terap,tetap
yg,yang
y,ya
gak,tidak
nyesel,menyesal
memlu,selalu
gak,tidak
gimana,bagaimana
liat,lihat
ja,aja
tak,tidak
gegara,karena
beberpa,beberapa
terap,tetap
kl,kalau
dlu,dulu
bka,buka 
sprti,seperti
skali,sekali
apkny,aplikasi
sdah,sudah
jngn,jangan
terusss,terus
bwt,buat
hrus,harus
trimakasih,terima kasih
terimakasih,terima kasih
anehhhh,aneh
anehhh,aneh
bwat,buat
sbentar,sebentar
slesai,selesai
nyangka,menyangka
pki,pakai
tw,tau
nmr,nomor
derastis,drastis
cobak,coba
memdapat,mendapat
ama,sama
skarang,sekarang
kecewaaaaaaaaaa,kecewa
nyaa,nya
akivasinya,aktivasi
niihhh,nih
kanpa,kenapa
lalma,lama
aat,saat
pke,pakai
bet,sekali
haru,harus
samaaaa,sama
mental,kembali
urgent,mendesak
aktivadi,aktivasi
haris,harus
responenya,respon
bangat,sekali
ama,sama
kebuka,buka
nohp,nomor handphone
kelar,selesai
pinjol,pinjaman online
goodby,good bye
memuskan,memuaskan
kau,kamu
gua,saya
tahu,tau
belom,belum
nii,ini
transakai,transaksi
anehh,aneh
teribet,terumit
mksh,terima kasih
gampangan,mudah
gal,tidak
bang,bank
appnya,aplikasi
ama,sama
kaga,tidak
ampe,sampai
kaga,tidak
apah,apa
kwalitas,kualitas
karna,karena
bsm,bsi
ko,kok
dll,dan lain lain
payah,susah
nyalain,menyalakan
ttep,tetap
jga,juga
duit,uang
kbaca,kebaca
kn,kan
bahkam,bahkan
kek,seperti
nyusahin,menyusahkan
dapet,dapat
bida,bisa
mengebai,mengenai
blom,belum
ttep,tetap
yng,yang
urgen,mendesak
la,lah
kesel,kesal
mulu,terus
utk,untuk
cobaa,coba
stiap,setiap
bisaa,bisa
nyaa,nya
lagii,lagi
memapaki,memakai
bangking,bank
pke,pakai
mikirrr,mikir
oromatis,otomatis
gimana,bagaimana
gabisaa,tidak bisa
pembeharuan,update
klafirikasi,klarifikasi
kalao,kalau
yutube,youtube
hbis,habis
nasaba,nasabah
sinyap,sinyal
nanganinya,menangani
gaguna,tidak berguna
apaaan,apaan
gaguna,tidak berguna
sperti,seperti
trus,terus
masukkk,masuk
ja,saja
apknya,aplikasi
sakuak,jelek
bangeeettt,sekali
bobrok,jelek
kesni,kesini
dr,dari
tgl,tanggal
sd,sampai dengan
blum,belum
accunt,account
efficient,efisien
transferi,transfer
aplikasinha,aplikasi
bangettt,sekali
semogaa,semoga
bgtt,sekali
next,selanjut
hinggan,hingga
isamai,islami
bagis,bagus
tak,tidak
inii,ini
cepet,cepat
peting,penting
lgsg,langsung
trlalu,terlalu
trlebih,terlebih
penggun,pengguna
selin,selain
spy,supaya
dowload,unduh
download,unduh
lengkao,lengkap
bls,balas
didalamx,dalam
masjit,masjid
thanks,terima kasih
engga,tidak
ditinkatkan,tingkatkan
dtg,datang
bnyk,banyak
spt,seperti
sblumnya,sebelum
td,tidak
sprt,seperti
pakbu,bapak ibu
rekomended,rekomendasi
recommended,rekomendasi
rekomen,rekomendasi
recommend,rekomendasi
uangcek,uang cek
dll,dan lain lain
kapanpum,kapanpun
password,kata sandi
sejuah,sejauh
sidah,sudah
miss,terlewat
kadnag,kadang
sebagaian,sebagian
simpel,sederhana
ktmu,ketemu
smga,semoga
support,mendukung
double,ganda
custom,kostum
thema,tema
gesture,gestur
next,selanjut
lemot,lambat
bangetttt,sekali
qt,kita
karna,karena
cont,contoh
sekalii,sekali
lagii,lagi
kereeennnnnn,hebat
keren,hebat
apliksi,aplikasi
drpd,daripada
aplikadinya,aplikasi
tidk,tidak
diucapka,ucapkan
pakeknya,pakai
dengab,dengan
syaria,syariah
gakalan,tidak kalah
gampng,gampang
sajatop,saja top
smpe,sampai
mudan,mudah
byk,banyak
dsb,dan sebagai
lemot,lambat
bad,buruk
thank,terima kasih
ngecewainn,kecewa
betullll,betul
aplikasii,aplikasi
tepatt,tepat
penyimpenan,penyimpanan
penyimpennya,penyimpanan
kereennn,hebat
keren,hebat
mencek,cek
disecure,aman
seneng,senang
muantappooolll,mantap
gag,tidak
mantaps,mantap
kilbat,kiblat
mantab,mantap
sd,sampai dengan
sangatt,sangat
baguss,bagus
mntap,mantap
verif,verifikasi
verifikasinya,verifikasi
nga,tidak
toleh,noleh
verfekasi,verifikasi
proper,layak
diakse,akses
cumn,cuma
gajihan,gajian
aj,aja
ap,apa
maky,maka
maslahy,masalah
dimna,dimana
lemott,lambat 
pantesan,pantasan
kntr,kantor
angk,tidak
lht,lihat
jgmhn,juga mohon
ssh,susah
playsore,playstore
shoppie,shopee
gemes,gemas
ngbuk,bug
maslah,masalah
org,orang
msh,masih
denga,dengan
tulisa,tulisan
cuman,cuma
bis,bisa
merk,merek
maintenen,pemeliharaan
ksh,kasih
gtu,begitu
tak,tidak
aktive,aktif
ngg,tidak
cbg,cabang
nnti,nanti
drmh,rumah
kaya,seperti
sj,saja
kntr,kantor
minnnn,admin
tengon,lihat
tengok,lihat
ribeett,rumit
trm,terima
ksh,kasih
tanggapnnya,tanggapan
kmdian,kemudian
lemotttttt,lambat
terusss,terus
gagall,gagal
padahall,padahal
benerr,benar
sebelahhh,sebelah
mudahhh,mudah
ampe,sampai
lemottt,lambat
gr,gara
apktiba,aplikasi tiba
mobil,mobile
menhapus,hapus
dtangapi,tanggapi
tks,terima kasih
serelah,setelah
slmt,selamat
mlm,malam
bapakibu,bapak ibu
ngadu,mengadu
langsumg,langsung
sblmnya,sebelum
cobaa,coba
ttap,tetap
bnyak,banyak
sdikt,sedikit
blockir,blokir
mo,mau
make,pakai
bgd,sekali
nye,nya
ajh,aja
sruh,suruh
prbaiki,perbaiki
byr,bayar
mksh,terima kasih
menegcewakan,kecewa
poto,foto
abdet,update
jarakx,jarak
aq,aku
mao,mau
smpai,sampai
tak,tidak
adasar,dasar
complain,komplain
sekalii,sekali
lyar,layar
egk,tidak
msuk,masuk
bnyak,banyak
mala,malah
perbaikkanny,perbaiki
dibls,balas
kenapaaaa,kenapa
teruusss,terus
dr,dari
kmrn,kemarin
smpe,sampai
brsn,baru saja
kyk,seperti
lwt,lewat
kga,tidak
trjelek,terjelek
slama,selama
hptpi,handphone tapi
lyar,layar
bangett,sekali
samaa,sama
bs,bisa
ktika,ketika
bbrpa,beberapa
pas,ketika
n,dan
gtulo,itu
amplikasi,aplikasi
stat,stay
jawap,jawab
gakada,tidak ada
nyaudah,sudah
lbh,lebih
bukaa,buka
suda,sudah
iniii,ini
susaahhh,susah
matiidupin,mati hidupkan
ora,tidak
yg,yang
jlemet,lemah
aplikasix,aplikasi
mlh,malah
ngk,tidak
tlng,tolong
maslahnya,masalah
sd,sampai dengan
cngebleng,blank
padhl,padahal
udah,sudah
kpn,kapan
bgtu,begitu
bnyk,banyak
trbaru,terbaru
ngga,tidak
bs,bisa
trbantu,terbantu
bnyak,banyak
skr,sekarang
khan,kan
oerbaiki,perbaiki
sndiri,sendiri
pringatan,peringatan
tedapat,terdapat
apka,aplikasi
upgredean,upgrade
nnya,bertanya
sblum,sebelum
lngsung,langsung
pke,pakai
viturnya,fitur
aflikasi,aplikasi
ngikuntin,mengikuti
utk,untuk
syaray,syarat
dpn,depan
acm,cuma
nyoba,mencoba
lbh,lebih
bethasil,sekali hasil
hnya,hanya
nolll,nol
appnya,aplikasi
perbaikia,perbaikan
cape,lelah
untik,untuk
gilaaa,gila
kga,tidak
vace,video call
susaaah,susah
menitt,menit
terll,terlalu
kl,kalau
alah,malah
msh,masih
infut,input
tin,in
gtu,begitu
tlp,telepon
terlalau,terlalu
mna,mana
bangettt,sekali
gbsa,tidak bisa
sblmnya,sebelum
pemasukan,masukan
cape,lelah
udaj,sudah
amanaman,aman
gimanaa,bagaimana
lbh,lebih
cpet,cepat
dlm,dalam
smg,semoga
ad,ada
trx,terus
use,user
vitur,fitur
oengembang,pengembang
jwban,jawaban
msuk,masuk
perbaulikan,perbaikan
utk,untuk
veripikasi,verifikasi
pace,wajah
rat,rating
mandaptar,mendaftar
percumah,percuma
fac,face
kya,seperti
kasoh,kasih
abgret,update
tarek,tarik
dowload,unduh
tah,entah
biyaya,biaya
ku,aku
sajaa,saja
padhal,padahal
mengecewakannn,kecewa
tnp,tanpa
gw,saya
sitem,sistem
klok,kalau
tpi,tapi
trik,tarik
sebelm,sebelum
kasian,kasihan
kertu,kartu
menyusahkaaannnm,menyusahkan
mengecwakan,kecewa
pertma,pertama
mnutup,menutup
mnit,menit
didlam,dalam
aplksi,aplikasi
loding,loading
bkrjsama,bekerjasama
dn,dan
prbnyak,perbanyak
ajaa,aja
kouta,kuota
nyari,mencari
bego,bodoh
ajah,aja
hpny,handphone
trnfer,transfer
kasik,kasih
ngka,tidak
sebereapa,seberapa
btuhnya,butuh
trbru,terbaru
mbile,mobile
hpus,hapus
jga,juga
smpah,sampah
bnking,bank
masak,masa
mengatasnaman,mengatasnamakan
upgratenya,upgrade
pdahal,padahal
pingin,ingin
spt,seperti
tsb,tersebut
sdgkan,sedangkan
ingi,ingin
slsei,selesai
bagaiamana,bagaimana
luwemott,lambat
wjah,wajah
trz,terus
lemoott,lambat
trisi,terisi
ajaa,saja
verication,pemeriksaan
seblum,sebelum
seprti,seperti
virifikasi,pemeriksaan
rek,rekening
ttapi,tetapi
ttap,tetap
da,ada
ja,saja
inteuksi,instruksi
tu,itu
mempersululit,mempersulit
mimin,admin
prngembalianya,pengembalian
jdi,jadi
ampunnn,ampun
terua,terus
sampe,sampai
telp,telepon
sekaramg,sekarang
verif,verifikasi
mon,mohon
kudu,harus
nanggepin,menanggapi
korupt,korupsi
ksh,kasih
jjr,jujur
fan,an
aktiv,aktif
cacanya,cache
knpya,kenapa
kecilll,kecil
kn,kan
tulisany,tulisan
jlekbetnjir,jelek
mntak,minta
aflikasi,aplikasi
veripikasi,verifikasi
sma,sama
perna,pernah
sempet,sempat
aseli,asli
tereak,teriak
mgkn,mungkin
qu,saya
sajalaah,sajalah
bejibuuun,bejibun
pulak,pula
susahh,susah
apalgi,apalagi
langsng,langsung
dl,dulu
pokoke,pokok
laam,lama
lemooott,lambat
gt,gitu
bbrp,beberapa
gbisa,tidak bisa
sampe,sampai
cdgn,cadangan
palah,malah
nitif,notif
kehabisa,kehabisan
sudsh,sudah
admint,admin
minggi,minggu
apikasi,aplikasi
sngt,sangat
bngt,sekali
terimah,terima
usa,usah
kalu,kalau
aplikasihnya,aplikasi
blum,belum
aplikasih,aplikasi
ytb,youtube
muluuu,terus
ketulungan,tertolong
tlg,tolong
trutama,terutama
sjak,sejak
sya,saya
stiap,setiap
lahh,lah
loginn,login
tdnya,tadi
slalu,selalu
kehabisa,kehabisan
ssbelumnya,sebelum
ummat,umat
eror,error 
dlu,dulu
benernya,benar
mnta,minta
thxs,terima kasih
egk,tidak
rec,rekening
jgn,jangan
mcm,macam
dpt,dapat
nebeng,numpang
bsa,bisa
sistemu,sistem
kasi,kasih
kemananaha,keamanan
serig,sering
diperbaikii,perbaiki
bget,sekali
kmaren,kemarin
gimna,bagaimana
cumaa,cuma
apaan ,apa
usaahakan,usahakan
perumitkan,merumitkan
ilang,hilang
kli,kali
diauruh,suruh
mmg,memang
